image_id,split
IDRiD_01,calibration_fit
IDRiD_02,heldout_validation
IDRiD_03,heldout_validation
IDRiD_04,heldout_validation
IDRiD_05,calibration_fit
IDRiD_06,calibration_fit
IDRiD_07,heldout_validation
IDRiD_08,calibration_fit
IDRiD_09,heldout_validation
IDRiD_10,calibration_fit
IDRiD_11,calibration_fit
IDRiD_12,heldout_validation
IDRiD_13,calibration_fit
IDRiD_14,calibration_fit
IDRiD_15,heldout_validation
IDRiD_16,heldout_validation
IDRiD_17,calibration_fit
IDRiD_18,heldout_validation
IDRiD_19,calibration_fit
IDRiD_20,calibration_fit
IDRiD_21,heldout_validation
IDRiD_22,heldout_validation
IDRiD_23,calibration_fit
IDRiD_24,heldout_validation
IDRiD_25,heldout_validation
IDRiD_26,calibration_fit
IDRiD_27,heldout_validation
IDRiD_28,heldout_validation
IDRiD_29,calibration_fit
IDRiD_30,heldout_validation
IDRiD_31,calibration_fit
IDRiD_32,calibration_fit
IDRiD_33,heldout_validation
IDRiD_34,calibration_fit
IDRiD_35,calibration_fit
IDRiD_36,calibration_fit
IDRiD_37,heldout_validation
IDRiD_38,heldout_validation
IDRiD_39,heldout_validation
IDRiD_40,calibration_fit
IDRiD_41,calibration_fit
IDRiD_42,heldout_validation
IDRiD_43,calibration_fit
IDRiD_44,heldout_validation
IDRiD_45,calibration_fit
IDRiD_46,calibration_fit
IDRiD_47,heldout_validation
IDRiD_48,calibration_fit
IDRiD_49,heldout_validation
IDRiD_50,calibration_fit
IDRiD_51,calibration_fit
IDRiD_52,heldout_validation
IDRiD_53,heldout_validation
IDRiD_54,calibration_fit
IDRiD_55,calibration_fit
IDRiD_56,calibration_fit
IDRiD_57,calibration_fit
IDRiD_58,heldout_validation
IDRiD_59,heldout_validation
IDRiD_60,heldout_validation
IDRiD_61,heldout_validation
IDRiD_62,calibration_fit
IDRiD_63,calibration_fit
IDRiD_64,heldout_validation
IDRiD_65,calibration_fit
IDRiD_66,heldout_validation
IDRiD_67,calibration_fit
IDRiD_68,calibration_fit
IDRiD_69,calibration_fit
IDRiD_70,heldout_validation
IDRiD_71,calibration_fit
IDRiD_72,heldout_validation
IDRiD_73,heldout_validation
IDRiD_74,calibration_fit
IDRiD_75,heldout_validation
IDRiD_76,heldout_validation
IDRiD_77,heldout_validation
IDRiD_78,heldout_validation
IDRiD_79,heldout_validation
IDRiD_80,heldout_validation
IDRiD_81,calibration_fit
